matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
85760,BLAST Pro Series Madrid 2019,2019-05-11 09:15,Train,Astralis,ENCE,ENCE,13,16,8,5,7,9,13,16,1,0,Magisk,26,Aerial,25,dupreeh,8,Aerial,5,dupreeh,21,xseveN,20,Magisk,91.2,xseveN,93.8,sergej,14,Magisk,2,xseveN,3,device,17,allu,16,Xyp9x,40.1,allu,51.3,Magisk,26,Astralis,xseveN,93.8,ENCE,dupreeh,8,Astralis,device,16,Astralis,Aerial,7,ENCE,Magisk,1.34,Astralis
85758,BLAST Pro Series Madrid 2019,2019-05-11 09:15,Nuke,Astralis,ENCE,ENCE,9,16,4,5,11,5,11,14,1,1,device,18,Aerial,21,gla1ve,9,Aleksib,8,gla1ve,20,Aleksib,18,device,69.4,Aerial,104.8,allu,16,Xyp9x,0,xseveN,2,device,16,xseveN,9,Xyp9x,45.4,allu,63.3,xseveN,21,ENCE,Aerial,104.8,ENCE,gla1ve,7,Astralis,device,9,Astralis,Aerial,8,ENCE,Aerial,1.59,ENCE
85748,BLAST Pro Series Madrid 2019,2019-05-11 06:50,Inferno,Astralis,Cloud9,Astralis,16,11,9,7,6,5,19,8,2,2,gla1ve,24,autimatic,28,device,5,cajunb,5,gla1ve,16,autimatic,21,device,91.5,autimatic,104,vice,8,gla1ve,3,autimatic,3,Xyp9x,13,cajunb,18,Magisk,56.6,cajunb,44.7,autimatic,28,Cloud9,autimatic,104.0,Cloud9,device,5,Astralis,autimatic,2,Cloud9,device,7,Astralis,device,1.49,Astralis
85741,BLAST Pro Series Madrid 2019,2019-05-11 05:25,Dust2,Astralis,ENCE,ENCE,13,16,8,5,7,9,12,17,0,2,device,27,Aerial,22,device,8,Aleksib,8,Xyp9x,22,Aerial,22,device,105.5,Aerial,77.6,xseveN,18,Magisk,4,allu,1,Magisk,18,allu,15,gla1ve,48.7,xseveN,66.9,device,27,Astralis,device,105.5,Astralis,Xyp9x,6,Astralis,device,18,Astralis,xseveN,4,ENCE,device,1.47,Astralis
85730,BLAST Pro Series Madrid 2019,2019-05-11 04:00,Dust2,Astralis,Natus Vincere,Astralis,16,13,5,11,10,3,12,16,1,0,dupreeh,28,Edward,29,Xyp9x,11,electronic,8,dupreeh,20,Zeus,21,dupreeh,81.5,Edward,89.3,flamie,12,dupreeh,4,Edward,1,gla1ve,16,s1mple,16,Xyp9x,53.3,flamie,40.4,Edward,29,Natus Vincere,Edward,89.3,Natus Vincere,Xyp9x,9,Astralis,device,9,Astralis,electronic,8,Natus Vincere,dupreeh,1.35,Astralis
85691,BLAST Pro Series Madrid 2019,2019-05-10 11:20,Nuke,Astralis,Giants,Astralis,16,7,9,7,6,1,13,10,1,0,dupreeh,28,ZELIN,15,Magisk,8,MUTiRiS,6,gla1ve,14,ZELIN,21,dupreeh,117.4,ZELIN,64.7,KILLDREAM,5,Xyp9x,2,rmn,2,dupreeh,8,MUTiRiS,17,gla1ve,53.7,KILLDREAM,41.3,dupreeh,28,Astralis,dupreeh,117.4,Astralis,Magisk,8,Astralis,device,4,Astralis,dupreeh,5,Astralis,dupreeh,2.04,Astralis
85684,BLAST Pro Series Madrid 2019,2019-05-10 10:00,Dust2,Astralis,NiP,Astralis,16,8,9,7,6,2,14,10,0,1,dupreeh,23,Lekr0,13,device,8,Lekr0,4,gla1ve,14,Lekr0,20,Xyp9x,98.1,Lekr0,80.9,GeT_RiGhT,9,gla1ve,2,REZ,1,Xyp9x,9,dennis,18,device,69.3,GeT_RiGhT,42.4,dupreeh,23,Astralis,Xyp9x,98.1,Astralis,device,7,Astralis,device,8,Astralis,gla1ve,5,Astralis,dupreeh,1.58,Astralis
85039,ESL Pro League Season 9 Europe,2019-04-25 11:00,Overpass,Astralis,BIG,Astralis,16,14,5,11,10,4,15,15,1,2,dupreeh,26,XANTARES,25,dupreeh,10,tiziaN,11,Xyp9x,21,XANTARES,23,dupreeh,96.6,XANTARES,90.3,tiziaN,9,Magisk,4,nex,5,device,16,tabseN,19,Magisk,58,tiziaN,48.3,dupreeh,26,Astralis,dupreeh,96.6,Astralis,dupreeh,9,Astralis,tabseN,13,BIG,XANTARES,6,BIG,dupreeh,1.37,Astralis
85034,ESL Pro League Season 9 Europe,2019-04-25 11:00,Inferno,Astralis,BIG,BIG,17,19,9,6,6,9,18,18,1,4,dupreeh,28,XANTARES,32,Xyp9x,10,gob b,9,dupreeh,27,tiziaN,26,dupreeh,83.7,XANTARES,95.1,gob b,18,dupreeh,3,XANTARES,5,Xyp9x,18,gob b,17,device,48.3,tiziaN,56.8,XANTARES,32,BIG,XANTARES,95.1,BIG,Xyp9x,9,Astralis,tabseN,11,BIG,tabseN,8,BIG,XANTARES,1.34,BIG
85032,ESL Pro League Season 9 Europe,2019-04-25 11:00,Dust2,Astralis,BIG,Astralis,16,10,10,6,5,5,14,12,0,1,dupreeh,23,tabseN,23,dupreeh,6,XANTARES,7,Xyp9x,16,XANTARES,20,dupreeh,95.8,XANTARES,101.7,gob b,8,Xyp9x,2,nex,3,device,12,tiziaN,15,Xyp9x,57.1,tiziaN,31,tabseN,23,BIG,XANTARES,101.7,BIG,XANTARES,7,BIG,tabseN,12,BIG,XANTARES,6,BIG,dupreeh,1.51,Astralis
84986,ESL Pro League Season 9 Europe,2019-04-24 07:20,Inferno,Astralis,HellRaisers,Astralis,16,7,9,7,6,1,13,10,2,1,device,21,nukkye,16,Xyp9x,9,loWel,5,Xyp9x,13,nukkye,20,device,84.1,nukkye,80.3,ANGE1,10,device,2,ANGE1,1,device,12,ISSAA,13,dupreeh,71.6,ANGE1,37.6,device,21,Astralis,device,84.1,Astralis,Xyp9x,6,Astralis,oskar,4,HellRaisers,gla1ve,4,Astralis,device,1.56,Astralis
84982,ESL Pro League Season 9 Europe,2019-04-24 07:20,Dust2,Astralis,HellRaisers,Astralis,16,4,14,2,1,3,17,3,2,1,Xyp9x,25,loWel,14,Xyp9x,10,nukkye,5,Xyp9x,10,ANGE1,19,Xyp9x,134.2,nukkye,73.2,oskar,6,device,0,loWel,1,dupreeh,8,loWel,16,gla1ve,66,oskar,31.5,Xyp9x,25,Astralis,Xyp9x,134.2,Astralis,Xyp9x,8,Astralis,dupreeh,13,Astralis,dupreeh,7,Astralis,Xyp9x,2.07,Astralis
84954,ESL Pro League Season 9 Europe,2019-04-23 11:15,Nuke,Astralis,ex-3DMAX,Astralis,16,7,8,8,7,0,15,8,1,0,gla1ve,25,Maka,17,Magisk,6,Maka,6,dupreeh,15,Maka,18,gla1ve,108.9,Maka,85.2,hAdji,9,device,3,JiNKZ,0,Magisk,11,LOGAN,15,Xyp9x,63.6,hAdji,49.3,gla1ve,25,Astralis,gla1ve,108.9,Astralis,Maka,4,ex-3DMAX,Maka,5,ex-3DMAX,gla1ve,4,Astralis,gla1ve,1.71,Astralis
84949,ESL Pro League Season 9 Europe,2019-04-23 11:15,Mirage,Astralis,ex-3DMAX,Astralis,16,6,9,7,6,0,12,10,1,1,Magisk,20,Maka,16,dupreeh,8,Maka,4,Magisk,14,LOGAN,18,Magisk,97.8,Maka,78,JiNKZ,6,device,5,LOGAN,1,device,7,Davidp,16,Xyp9x,64.6,JiNKZ,45.7,Magisk,20,Astralis,Magisk,97.8,Astralis,dupreeh,6,Astralis,Maka,8,ex-3DMAX,Magisk,5,Astralis,device,1.45,Astralis
84364,BLAST Pro Series Miami 2019,2019-04-13 10:05,Dust2,Astralis,FaZe,FaZe,5,16,2,3,13,3,8,13,2,1,Magisk,17,NiKo,24,Xyp9x,8,GuardiaN,7,gla1ve,19,NiKo,12,Xyp9x,82.1,NiKo,99.3,olofmeister,9,Magisk,1,rain,3,Magisk,16,GuardiaN,9,dupreeh,43,olofmeister,70.6,NiKo,24,FaZe,NiKo,99.3,FaZe,Xyp9x,6,Astralis,GuardiaN,10,FaZe,gla1ve,3,Astralis,NiKo,1.69,FaZe
84360,BLAST Pro Series Miami 2019,2019-04-13 08:30,Overpass,Astralis,Liquid,Liquid,14,16,8,6,7,9,13,17,2,1,Magisk,27,NAF,31,Xyp9x,10,Twistzz,7,Xyp9x,22,Twistzz,22,Magisk,96.7,NAF,99.8,EliGE,16,dupreeh,3,EliGE,3,Magisk,18,nitr0,18,dupreeh,57.3,EliGE,62.6,NAF,31,Liquid,NAF,99.8,Liquid,Twistzz,7,Liquid,nitr0,10,Liquid,EliGE,7,Liquid,NAF,1.43,Liquid
84352,BLAST Pro Series Miami 2019,2019-04-13 07:00,Overpass,Astralis,MIBR,MIBR,2,16,2,0,13,3,7,11,0,1,dupreeh,9,coldzera,24,dupreeh,2,FalleN,6,dupreeh,17,fer,10,device,63.3,coldzera,131.9,TACO,12,Magisk,0,TACO,2,gla1ve,16,coldzera,4,Magisk,35.1,TACO,66.4,coldzera,24,MIBR,coldzera,131.9,MIBR,fer,5,MIBR,FalleN,8,MIBR,felps,4,MIBR,coldzera,2.16,MIBR
84296,BLAST Pro Series Miami 2019,2019-04-12 13:30,Inferno,Astralis,Natus Vincere,Astralis,16,7,10,6,5,2,14,9,1,1,Xyp9x,23,s1mple,16,Magisk,6,s1mple,4,Xyp9x,12,Zeus,21,Magisk,101.8,s1mple,69.2,Zeus,5,dupreeh,3,electronic,2,device,8,s1mple,16,device,66.5,Edward,44.1,Xyp9x,23,Astralis,Magisk,101.8,Astralis,Magisk,5,Astralis,device,9,Astralis,Xyp9x,5,Astralis,Xyp9x,1.54,Astralis
84293,BLAST Pro Series Miami 2019,2019-04-12 12:00,Inferno,Astralis,Cloud9,Astralis,16,10,10,6,5,5,17,9,3,1,Magisk,23,autimatic,25,Xyp9x,6,autimatic,8,Xyp9x,18,vice,20,Magisk,102.1,autimatic,102.3,vice,8,Magisk,5,Golden,3,Magisk,16,cajunb,17,device,63.2,vice,40.8,autimatic,25,Cloud9,autimatic,102.3,Cloud9,cajunb,7,Cloud9,device,4,Astralis,Magisk,5,Astralis,Magisk,1.42,Astralis
83303,BLAST Pro Series São Paulo 2019,2019-03-23 13:15,Overpass,Astralis,Liquid,Astralis,16,2,13,3,2,0,14,4,1,1,Xyp9x,20,Twistzz,10,Xyp9x,7,Twistzz,4,dupreeh,11,Stewie2K,17,Xyp9x,112.3,NAF,79.2,Stewie2K,7,Magisk,0,nitr0,2,device,6,nitr0,13,gla1ve,48.4,nitr0,42.2,Xyp9x,20,Astralis,Xyp9x,112.3,Astralis,Xyp9x,5,Astralis,Stewie2K,5,Liquid,dupreeh,6,Astralis,Xyp9x,1.99,Astralis
83296,BLAST Pro Series São Paulo 2019,2019-03-23 13:15,Inferno,Astralis,Liquid,Astralis,16,8,11,5,4,4,10,14,2,0,gla1ve,21,nitr0,17,gla1ve,13,nitr0,4,gla1ve,16,Stewie2K,20,gla1ve,103.2,Stewie2K,90,EliGE,9,device,2,Twistzz,1,device,12,nitr0,15,Magisk,68,EliGE,51.1,gla1ve,21,Astralis,gla1ve,103.2,Astralis,gla1ve,10,Astralis,nitr0,8,Liquid,gla1ve,5,Astralis,gla1ve,1.54,Astralis
83290,BLAST Pro Series São Paulo 2019,2019-03-23 13:15,Dust2,Astralis,Liquid,Liquid,13,16,7,6,8,8,14,15,1,1,device,22,nitr0,22,Magisk,12,nitr0,8,dupreeh,21,Stewie2K,19,device,83.4,EliGE,79.4,Stewie2K,16,gla1ve,2,Stewie2K,4,gla1ve,17,Twistzz,14,gla1ve,47.3,Stewie2K,66.6,nitr0,22,Liquid,device,83.4,Astralis,Magisk,11,Astralis,device,15,Astralis,EliGE,4,Liquid,nitr0,1.21,Liquid
83274,BLAST Pro Series São Paulo 2019,2019-03-23 10:50,Dust2,Astralis,FaZe,Astralis,16,13,6,10,9,4,16,13,2,1,Xyp9x,26,NiKo,25,Xyp9x,11,GuardiaN,8,Xyp9x,19,NiKo,24,Xyp9x,91.7,GuardiaN,86.5,olofmeister,12,device,1,NiKo,1,Magisk,17,olofmeister,19,gla1ve,67.7,olofmeister,46.9,Xyp9x,26,Astralis,Xyp9x,91.7,Astralis,Magisk,8,Astralis,NiKo,11,FaZe,GuardiaN,6,FaZe,Xyp9x,1.35,Astralis
83270,BLAST Pro Series São Paulo 2019,2019-03-23 09:35,Dust2,Astralis,NiP,Astralis,16,12,11,5,4,8,15,13,3,0,device,33,Lekr0,28,gla1ve,8,GeT_RiGhT,8,gla1ve,20,Lekr0,21,device,114.3,Lekr0,94.5,GeT_RiGhT,9,device,3,Lekr0,3,device,15,draken,18,gla1ve,57.2,f0rest,38.2,device,33,Astralis,device,114.3,Astralis,GeT_RiGhT,4,NiP,device,20,Astralis,device,6,Astralis,device,1.88,Astralis
83265,BLAST Pro Series São Paulo 2019,2019-03-23 08:10,Overpass,Astralis,MIBR,Astralis,16,10,11,5,4,6,10,16,1,1,gla1ve,30,FalleN,19,Magisk,6,FalleN,5,device,16,felps,23,gla1ve,120,FalleN,79.1,fer,12,device,3,fer,1,Xyp9x,13,FalleN,19,Xyp9x,69.2,coldzera,56.4,gla1ve,30,Astralis,gla1ve,120.0,Astralis,Magisk,6,Astralis,device,9,Astralis,gla1ve,6,Astralis,gla1ve,1.84,Astralis
83181,BLAST Pro Series São Paulo 2019,2019-03-22 15:35,Dust2,Astralis,ENCE,Astralis,16,14,10,6,5,9,16,13,1,2,device,27,sergej,23,Xyp9x,7,Aleksib,8,gla1ve,21,Aleksib,23,device,103.2,sergej,82.7,allu,14,Magisk,3,Aerial,4,Magisk,15,sergej,18,Xyp9x,56,Aleksib,56.7,device,27,Astralis,device,103.2,Astralis,allu,6,ENCE,device,19,Astralis,dupreeh,8,Astralis,device,1.50,Astralis
83169,BLAST Pro Series São Paulo 2019,2019-03-22 14:10,Dust2,Astralis,Liquid,Astralis,16,13,7,9,8,5,13,16,4,1,Magisk,24,Stewie2K,25,gla1ve,9,Twistzz,9,gla1ve,24,Stewie2K,21,Magisk,93.2,NAF,88.4,Twistzz,13,device,2,Stewie2K,3,Magisk,16,NAF,16,gla1ve,50.7,Twistzz,61.6,Stewie2K,25,Liquid,Magisk,93.2,Astralis,gla1ve,7,Astralis,device,18,Astralis,device,5,Astralis,Magisk,1.36,Astralis
82795,ECS Season 7 Europe Week 1,2019-03-14 11:05,Inferno,Astralis,NiP,Astralis,16,1,14,2,1,0,11,6,2,0,gla1ve,21,f0rest,13,gla1ve,10,f0rest,5,device,12,f0rest,17,gla1ve,131.2,f0rest,82.2,Lekr0,6,dupreeh,3,draken,1,Magisk,4,GeT_RiGhT,16,device,53.8,Lekr0,42.4,gla1ve,21,Astralis,gla1ve,131.2,Astralis,gla1ve,9,Astralis,device,7,Astralis,gla1ve,6,Astralis,gla1ve,2.16,Astralis
82794,ECS Season 7 Europe Week 1,2019-03-14 11:05,Train,Astralis,NiP,Astralis,16,9,6,10,9,0,15,10,1,0,Xyp9x,21,draken,22,Xyp9x,6,Lekr0,6,gla1ve,16,f0rest,20,Xyp9x,100.4,draken,77.9,f0rest,10,dupreeh,2,draken,2,dupreeh,12,draken,14,device,61.6,f0rest,46.5,draken,22,NiP,Xyp9x,100.4,Astralis,Xyp9x,6,Astralis,draken,14,NiP,gla1ve,4,Astralis,Xyp9x,1.49,Astralis
82667,ECS Season 7 Europe Week 1,2019-03-12 11:05,Inferno,Astralis,AVANGAR,Astralis,16,13,8,8,7,6,14,15,1,2,device,32,buster,22,gla1ve,7,qikert,9,Magisk,21,qikert,22,device,116,qikert,84.4,Jame,16,dupreeh,2,KrizzeN,1,Xyp9x,17,buster,19,gla1ve,53.8,SANJI,67.5,device,32,Astralis,device,116.0,Astralis,qikert,6,AVANGAR,Jame,13,AVANGAR,Jame,4,AVANGAR,device,1.61,Astralis
82664,ECS Season 7 Europe Week 1,2019-03-12 11:05,Overpass,Astralis,AVANGAR,Astralis,16,14,5,11,10,4,17,13,1,2,dupreeh,29,SANJI,23,dupreeh,6,SANJI,7,Xyp9x,21,KrizzeN,23,dupreeh,107.1,SANJI,90.8,KrizzeN,17,device,2,buster,3,dupreeh,19,Jame,14,Xyp9x,53.1,KrizzeN,54.9,dupreeh,29,Astralis,dupreeh,107.1,Astralis,SANJI,7,AVANGAR,Jame,12,AVANGAR,dupreeh,8,Astralis,dupreeh,1.54,Astralis
82561,ECS Season 7 Europe Week 1,2019-03-11 08:05,Nuke,Astralis,LDLC,Astralis,16,4,13,3,2,2,12,8,3,0,Magisk,20,matHEND,13,Xyp9x,3,matHEND,5,dupreeh,13,devoduvek,17,Magisk,110.7,matHEND,86.5,SIXER,7,dupreeh,2,xms,1,Xyp9x,8,xms,15,gla1ve,63.8,SIXER,48.5,Magisk,20,Astralis,Magisk,110.7,Astralis,matHEND,4,LDLC,to1nou,3,LDLC,device,4,Astralis,Xyp9x,1.65,Astralis
82558,ECS Season 7 Europe Week 1,2019-03-11 08:05,Dust2,Astralis,LDLC,Astralis,16,7,11,5,4,3,14,8,1,2,Xyp9x,20,SIXER,20,Xyp9x,9,SIXER,5,dupreeh,13,matHEND,23,Xyp9x,97.4,SIXER,97,devoduvek,8,dupreeh,3,to1nou,0,Magisk,10,xms,17,device,68.3,to1nou,32.9,SIXER,20,LDLC,Xyp9x,97.4,Astralis,Xyp9x,9,Astralis,device,11,Astralis,dupreeh,4,Astralis,Xyp9x,1.50,Astralis
82145,IEM Katowice 2019,2019-03-03 09:05,Inferno,ENCE,Astralis,Astralis,4,16,1,3,14,2,11,9,1,0,sergej,16,device,22,sergej,4,Magisk,9,xseveN,19,Magisk,11,sergej,105.7,device,118.5,gla1ve,14,Aerial,0,dupreeh,4,sergej,16,device,8,Aerial,38.7,gla1ve,74.7,dupreeh,22,Astralis,device,118.5,Astralis,Magisk,8,Astralis,device,3,Astralis,xseveN,4,ENCE,device,1.89,Astralis
82143,IEM Katowice 2019,2019-03-03 09:05,Train,ENCE,Astralis,Astralis,11,16,4,7,11,5,15,11,4,1,xseveN,20,Xyp9x,26,xseveN,10,gla1ve,9,allu,21,dupreeh,19,xseveN,96.1,Xyp9x,95.9,gla1ve,10,allu,2,device,2,Aerial,19,Xyp9x,12,Aleksib,47.6,gla1ve,54,Xyp9x,26,Astralis,xseveN,96.1,ENCE,xseveN,9,ENCE,device,9,Astralis,xseveN,6,ENCE,Xyp9x,1.52,Astralis
82123,IEM Katowice 2019,2019-03-02 10:20,Inferno,MIBR,Astralis,Astralis,7,16,6,1,9,7,9,14,0,4,felps,21,dupreeh,22,coldzera,6,Xyp9x,9,TACO,19,dupreeh,17,coldzera,82.2,dupreeh,104.7,gla1ve,10,felps,1,dupreeh,3,felps,15,Xyp9x,11,TACO,54.4,gla1ve,42.6,dupreeh,22,Astralis,dupreeh,104.7,Astralis,Magisk,6,Astralis,device,3,Astralis,fer,4,MIBR,Magisk,1.52,Astralis
82121,IEM Katowice 2019,2019-03-02 10:20,Overpass,MIBR,Astralis,Astralis,14,16,9,5,6,10,16,14,1,2,fer,24,Magisk,26,coldzera,6,gla1ve,9,TACO,22,Magisk,20,fer,78.5,Magisk,106.1,Xyp9x,15,fer,1,device,1,fer,16,dupreeh,16,TACO,56.8,Xyp9x,56.6,Magisk,26,Astralis,Magisk,106.1,Astralis,felps,6,MIBR,FalleN,11,MIBR,gla1ve,5,Astralis,Magisk,1.37,Astralis
82095,IEM Katowice 2019,2019-03-01 09:35,Dust2,Astralis,NiP,Astralis,16,14,11,5,4,10,19,11,1,0,Xyp9x,22,REZ,21,Xyp9x,8,GeT_RiGhT,5,dupreeh,22,GeT_RiGhT,22,Xyp9x,89.5,REZ,78.7,Lekr0,16,dupreeh,2,REZ,3,Magisk,14,f0rest,14,gla1ve,50.9,dennis,64.7,Xyp9x,22,Astralis,Xyp9x,89.5,Astralis,device,4,Astralis,device,12,Astralis,device,7,Astralis,device,1.26,Astralis
82091,IEM Katowice 2019,2019-03-01 09:35,Mirage,Astralis,NiP,Astralis,16,2,15,1,0,2,13,5,1,1,Magisk,23,Lekr0,10,gla1ve,8,f0rest,3,gla1ve,10,GeT_RiGhT,18,Magisk,112.9,REZ,67,GeT_RiGhT,3,Magisk,2,dennis,0,Xyp9x,3,f0rest,16,gla1ve,69.2,GeT_RiGhT,29.1,Magisk,23,Astralis,Magisk,112.9,Astralis,gla1ve,5,Astralis,device,9,Astralis,Magisk,6,Astralis,Magisk,1.94,Astralis
81741,IEM Katowice 2019,2019-02-21 05:55,Inferno,Astralis,Renegades,Astralis,16,2,13,3,2,0,14,4,0,0,device,21,jkaem,8,Xyp9x,6,Gratisfaction,3,Xyp9x,8,Gratisfaction,17,device,115.7,jkaem,53.4,Liazz,4,gla1ve,3,jkaem,0,Magisk,4,jks,13,Magisk,68.2,Gratisfaction,30.1,device,21,Astralis,device,115.7,Astralis,Xyp9x,6,Astralis,device,16,Astralis,device,6,Astralis,device,1.96,Astralis
81734,IEM Katowice 2019,2019-02-21 05:55,Nuke,Astralis,Renegades,Astralis,16,9,6,10,9,0,12,13,1,1,device,21,jks,19,gla1ve,7,Liazz,6,gla1ve,14,jks,18,device,88.6,jks,80.3,jkaem,10,dupreeh,3,jkaem,1,device,13,jkaem,16,Magisk,51.8,jkaem,49.5,device,21,Astralis,device,88.6,Astralis,Liazz,6,Renegades,Gratisfaction,9,Renegades,jks,4,Renegades,device,1.37,Astralis
81727,IEM Katowice 2019,2019-02-21 05:55,Mirage,Astralis,Renegades,Renegades,17,19,12,3,3,12,20,16,0,1,device,29,jkaem,28,gla1ve,11,Gratisfaction,9,dupreeh,26,jks,23,device,74.8,jks,81.5,Liazz,17,Magisk,4,jks,2,device,23,jkaem,21,Magisk,56.7,Liazz,62.7,device,29,Astralis,jks,81.5,Renegades,gla1ve,11,Astralis,Gratisfaction,13,Renegades,dupreeh,6,Astralis,device,1.18,Astralis
81695,IEM Katowice 2019,2019-02-20 12:50,Train,Astralis,Cloud9,Astralis,16,0,15,1,0,0,11,5,1,0,Magisk,21,autimatic,9,dupreeh,5,RUSH,2,dupreeh,10,autimatic,16,Magisk,136.7,autimatic,54.8,flusha,2,device,1,autimatic,1,Xyp9x,2,RUSH,15,dupreeh,62.6,kioShiMa,35.1,Magisk,21,Astralis,Magisk,136.7,Astralis,dupreeh,4,Astralis,Magisk,13,Astralis,device,5,Astralis,Magisk,2.17,Astralis
81670,IEM Katowice 2019,2019-02-20 06:55,Nuke,Astralis,compLexity,Astralis,16,6,11,5,4,2,10,12,3,0,Xyp9x,26,stanislaw,18,dupreeh,5,dephh,4,device,16,Rickeh,19,Xyp9x,131.1,stanislaw,85.8,dephh,11,Xyp9x,0,n0thing,1,Xyp9x,8,stanislaw,17,Magisk,59.9,n0thing,63.5,Xyp9x,26,Astralis,Xyp9x,131.1,Astralis,dupreeh,5,Astralis,ShahZaM,7,compLexity,ShahZaM,4,compLexity,Xyp9x,2.05,Astralis
80325,iBUYPOWER Masters 2019,2019-01-20 18:55,Overpass,Liquid,Astralis,Liquid,16,11,6,10,9,2,11,16,1,0,NAF,23,Xyp9x,18,NAF,6,Xyp9x,6,Stewie2K,17,device,22,Stewie2K,95.2,Xyp9x,81.7,Magisk,12,nitr0,3,device,3,nitr0,12,Xyp9x,17,EliGE,69.4,gla1ve,45,NAF,23,Liquid,Stewie2K,95.2,Liquid,Stewie2K,6,Liquid,device,6,Astralis,gla1ve,4,Astralis,NAF,1.36,Liquid
80324,iBUYPOWER Masters 2019,2019-01-20 18:55,Dust2,Liquid,Astralis,Liquid,16,11,9,7,6,5,13,14,2,2,Stewie2K,27,Xyp9x,22,nitr0,7,Magisk,9,EliGE,20,device,24,Stewie2K,111.2,Xyp9x,92.8,dupreeh,11,Stewie2K,3,gla1ve,2,NAF,14,Magisk,18,nitr0,65.6,dupreeh,46,Stewie2K,27,Liquid,Stewie2K,111.2,Liquid,Magisk,7,Astralis,Stewie2K,14,Liquid,EliGE,5,Liquid,Stewie2K,1.55,Liquid
80323,iBUYPOWER Masters 2019,2019-01-20 18:55,Inferno,Liquid,Astralis,Astralis,4,16,3,1,12,4,5,15,2,2,NAF,15,gla1ve,23,nitr0,6,Xyp9x,8,nitr0,18,Xyp9x,12,NAF,85.4,Xyp9x,119.5,device,13,Twistzz,3,Magisk,4,NAF,17,Magisk,9,Stewie2K,38.5,dupreeh,61.9,gla1ve,23,Astralis,Xyp9x,119.5,Astralis,Xyp9x,7,Astralis,device,7,Astralis,gla1ve,6,Astralis,gla1ve,1.91,Astralis
80322,iBUYPOWER Masters 2019,2019-01-20 16:35,Inferno,Astralis,Ghost,Astralis,16,14,5,11,10,4,15,15,0,2,gla1ve,27,neptune,23,Magisk,10,neptune,10,Magisk,23,steel,22,Magisk,99.6,neptune,76.4,freakazoid,15,Xyp9x,2,freakazoid,0,Xyp9x,16,neptune,20,dupreeh,42,freakazoid,56.7,gla1ve,27,Astralis,Magisk,99.6,Astralis,Magisk,10,Astralis,WARDELL,10,Ghost,neptune,6,Ghost,gla1ve,1.30,Astralis
80321,iBUYPOWER Masters 2019,2019-01-20 16:35,Train,Astralis,Ghost,Astralis,16,2,13,3,2,0,10,8,1,0,device,23,WARDELL,12,Magisk,6,freakazoid,3,Magisk,10,koosta,18,device,112.6,WARDELL,67.3,steel,4,dupreeh,2,WARDELL,0,device,6,freakazoid,16,dupreeh,67.4,steel,36.4,device,23,Astralis,device,112.6,Astralis,Magisk,6,Astralis,device,16,Astralis,gla1ve,4,Astralis,device,2.01,Astralis
80292,iBUYPOWER Masters 2019,2019-01-19 16:35,Mirage,Astralis,Cloud9,Astralis,16,9,8,8,7,2,13,12,2,1,Magisk,26,kioShiMa,22,device,5,flusha,9,gla1ve,17,flusha,20,Magisk,110.6,flusha,86.8,autimatic,11,Magisk,3,Zellsis,1,device,14,kioShiMa,17,Xyp9x,53.7,Zellsis,48.1,Magisk,26,Astralis,Magisk,110.6,Astralis,flusha,9,Cloud9,autimatic,8,Cloud9,kioShiMa,5,Cloud9,Magisk,1.57,Astralis
80289,iBUYPOWER Masters 2019,2019-01-19 12:55,Dust2,Astralis,compLexity,Astralis,16,3,13,3,2,1,12,7,3,0,Magisk,20,n0thing,12,device,8,ShahZaM,5,device,11,stanislaw,18,Xyp9x,110.3,ShahZaM,60.7,dephh,2,gla1ve,3,n0thing,1,Magisk,5,Rickeh,14,dupreeh,71.1,dephh,23.4,Magisk,20,Astralis,Xyp9x,110.3,Astralis,device,8,Astralis,device,4,Astralis,dupreeh,5,Astralis,Magisk,1.82,Astralis
